addr,web_add,company_info,company,pay,jobname
北京-昌平区,https://jobs.51job.com/all/co3014850.html,,北京传智播客教育科技有限公司,1.6-3万/月,python导师J10091
北京-丰台区,https://jobs.51job.com/all/co2526056.html,"岗位职责：,  1、负责产品的系统设计和架构分析，参与核心模块的代码编写；,  2、负责效率工具的后台开发工作，具体包括各种需求分析、文档撰写、设计编码、测试运维、效果追踪等工作；,  3、负责高质量的设计和编码，承担重点、难点的技术攻坚； ,    ,  任职要求：,  1、1年以上Python开发经验，本科及以上学历； ,  2、精通Mysql/MongoDB/Redis等的性能调优； ,  3、有良好的学习能力，擅于钻研某方面技术；,  4、细致认真，善于沟通，能和团队融洽相处；,  5. 有AI相关经验者优先；,  6. 精通LNMP者优先。",苏州闻道网络科技股份有限公司,1.3-2万/月,Python开发工程师
北京-朝阳区,https://jobs.51job.com/all/co4764354.html,,达内时代科技集团有限公司,1.3-2.5万/月,Python讲师
北京-海淀区,https://jobs.51job.com/all/co4403260.html,"岗位职责：,1、网络环境内多类型网络运行状态及网络安全数据的分布式采集。,2、高效的数据处理算法，可快速将非关系型数据转化为关系型数据病进行存储。,3、公司SAAS数据可视化平台后端接口的开发。,3、对数据库进行高度优化。,任职要求：,1、精通Python语言，精通数据结构。,2、精通flask、Tornado等框架，注重代码质量和可维护性。,3、熟悉Nginx、apache。,4、精通数据库知识，熟悉redis，mongodb，mysql。,5、熟悉syslog、snmp。,6、具有扎实的服务器端开发功底，对数据结构和算法有深刻理解。",北京开维创科技有限公司,1-1.5万/月,Python开发工程师
北京,https://jobs.51job.com/all/co210554.html,,中国人民大学网络教育学院,0.6-1.6万/月,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co3222646.html,,中驰车福电子商务有限公司,0.8-1.2万/月,数据抓取及处理工程师（python方向）
北京-海淀区,https://jobs.51job.com/all/co4379360.html,"1. 负责平台管理软件的设计和开发工作,2. 深度理解公司业务，对公司平台系统进行设计、迭代优化和重构,3. 负责设计系统架构，编写核心代码,4. 负责项目文档编写、配合测试人员进行软件测试，保证软件产品质量,5. 完成高稳定性，高性能的web服务开发，定位并解决技术问题，提高团队整体解决问题的能力,6. 对平台进行持续的智能化改造，支持更大的系统容量，持续提升产品各项业务指标,任职要求:,1. 计算机科学与技术或相关专业本科及以上学历;,2. 扎实的编程基础，5年以上Web开发经验，掌握RESTful API的开发思想，具有良好的代码风格,3. 掌握分布式事务处理常见手段, 具有构建分布式任务系统经验（ActiveMQ/RabbitMQ, Redis/Couchbase, etc.），有异步消息驱动系统开发经验,4. 熟练使用至少一种常用数据库, 如MySQL/PostgreSQL/MongoDB, 了解常见的数据库优化技巧,5. 熟悉常用的web容器相关技术, 了解uwsgi、nginx、apache, 了解web服务器性能调优方法,6. 熟悉UNIX/Linux，有DevOps开发、部署、维护经验,7. 熟悉除Python以外的Web后端编程语言、有常用Python Web框架(Django/Flask/web.py)开发经验者优先,8. 了解大数据，有 MapReduce/Hadoop/Hbase/Zookeeper/Flume 等相关经验者优先,9. 对于新事物有好奇心, 态度认真负责，具备优秀的沟通协作和项目管理能力",北京嘉楠捷思信息技术有限公司,1.5-2万/月,Python高级开发工程师
空,空,空,绫致时装（天津）有限公司,空,空
北京,https://jobs.51job.com/all/co4009184.html,"工作职责：,1.负责基础云的架构设计与开发 ； ,2.负责相关AI业务的工程开发与实现； ,3.负责编码云业务的实现和开发。 ,任职资格：,1.计算机或相关专业本科及以上学历，有两年及两年以上的实际项目开发经验； ,2.精通Python 具备良好的代码风格（PEP-8），熟练使用GIT，能够撰写良好的技术文档； ,3.具备分布式系统的开发经验，熟悉MQ，Zookeeper，NoSQL，Django的开发使用； ,4.有较强的分析问题与独立解决问题的能力，良好的沟通能力及团队合作精神； ,5.对公有云／Docker的有开发经验者优先。",上海锐陟企业管理咨询有限公司,2.2-3.5万/月,资深Python开发专家
北京-海淀区,https://jobs.51job.com/all/co3783901.html,,国和瑞斯（北京）科技有限公司,1-1.5万/月,python工程师
北京-东城区,https://jobs.51job.com/all/co4582176.html,,北京信达泰和数据技术有限公司,1.5-2万/月,Python开发工程师
北京,https://jobs.51job.com/all/co3815622.html,,北京好巧国际旅行社有限公司,3-5万/月,Python高级研发工程师
北京,https://jobs.51job.com/all/co186431.html,,北京博辉在线科技发展有限公司,0.8-1万/月,Python测试工程师
北京-海淀区,https://jobs.51job.com/all/co3893593.html,"【项目介绍】,随着人工智能技术的发展，无论是开发者还是传统行业，如何接触和使用AI技术成为新的课题；搜狗AI云将基于搜狗多年在自然语言处理，语音，图像等技术的经验积累为公司内外提供了公共的接入平台；同时为搜狗语音，机器翻译等业内领先的技术寻找和各行各业的合作机会；将搜狗先进的技术和公司品牌进行推广和输出。在AI火爆的前景下，搜狗AI云项目期待和你一同创造未来。,【职位诱惑】,人工智能方向、最前沿的技术能力、巨大的成长空间。,【特别提示】,搜狗欢迎专情的你，最多投递两个职位，请谨慎投递。,【岗位职责】,1. 负责AI云语音图像等系统的集成开发；,2. 完成接口包装，SDK开发 3.负责研发过程中技术文档的编写工作。,【任职条件】,1、计算机或相关专业本科（或以上）学历， 1年以上互联网产品开发经验；,2、熟悉Python/Golang开发，有C/C++/Java开发经验优先，熟悉常用设计模式，熟悉互联网和Web应用的相关开发技术；,3、熟悉mysql, redis，nginx的开发；,4、强烈的责任心、良好的沟通能力、团队协作精神，具有解决挑战性问题的激情；,5、熟悉至少一门脚本语言，Bash优先。代码美观，逻辑清晰，懂ffmpeg、grpc、C#的加分,6、特别提示:搜狗欢迎专情的你，所以提醒你只能选择两个项目，请慎重投递。",北京搜狗科技发展有限公司,1.5-2.5万/月,搜狗AI云-Python开发工程师-北京-02581(职位编号：02581)
北京-海淀区,https://jobs.51job.com/all/co3293764.html,,数据堂（北京）科技股份有限公司,0.6-1万/月,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co3293764.html,,数据堂（北京）科技股份有限公司,0.6-1万/月,Python开发工程师
北京-顺义区,https://jobs.51job.com/all/co3361161.html,,天津狮桥国际物流有限公司,1-1.5万/月,python开发主管(北京)
北京-海淀区,https://jobs.51job.com/all/co3905968.html,,北京并行科技股份有限公司,1-1.5万/月,Python高级开发工程师-北京-00053
北京-海淀区,https://jobs.51job.com/all/co4830637.html,,环球合一网络技术（北京）股份有限公司,1-1.5万/月,python运维开发
